PARAM,AVG_TIME,RUN,FAILED,NB_INSTANCES
20,233.47252981115335ms,1,1,9
20,115.02744252239562ms,2,1,10
20,358.9440110351119ms,3,1,10
40,6924.709134778473ms,1,1,9
40,5474.6126739287965ms,2,1,8
40,5305.731472900459ms,3,1,10
60,8866.678727613791ms,1,1,10
60,9385.785777780306ms,2,1,10
60,9113.7120060889ms,3,1,10
